NRO recibido		En base
0138			NO RECONOCIDA
0XAf03SFa			NO RECONOCIDA
0720			OCTAL
14752			DECIMAL
8293			DECIMAL
91647			DECIMAL
0Xx3284			NO RECONOCIDA
0x372g32			NO RECONOCIDA
0032			OCTAL
0542			OCTAL
0			OCTAL
223			DECIMAL
0x1472AAb			HEXADECIMAL
0xFF			HEXADECIMAL
127			DECIMAL
0159			NO RECONOCIDA
0xaBb1			HEXADECIMAL
0Xx			NO RECONOCIDA
0			OCTAL
010			OCTAL
09			NO RECONOCIDA
127A			NO RECONOCIDA
120			DECIMAL
0x09			HEXADECIMAL
			NO RECONOCIDA
			NO RECONOCIDA
			NO RECONOCIDA
			NO RECONOCIDA
			NO RECONOCIDA
			NO RECONOCIDA
			NO RECONOCIDA
